1038 1015
4421696123 35.6967057 51.4021228
4421696130 35.6979118 51.4022961
4421902912 35.7027531 51.4074808
4421902913 35.7027705 51.406542
4421902914 35.7027836 51.4070999
4421902915 35.7028184 51.408484
4421902916 35.7029361 51.405952
4421902917 35.7029361 51.4065206
4421902918 35.7030101 51.4070356
4421902919 35.7030537 51.4074433
4421902920 35.7030667 51.4084679
4421902921 35.7030711 51.4080065
4421902922 35.7033281 51.4124697
4421902925 35.7037268 51.4079435
4421902926 35.7038683 51.4107236
4421902927 35.703863 51.410085
4421902928 35.7039075 51.4107746
4421902929 35.7038659 51.4104354
4421902930 35.7039903 51.4096159
4421902931 35.7039946 51.4099699
4421902932 35.7040817 51.410423
4421902933 35.7040904 51.4105463
4421902934 35.7042326 51.4118164
4421902935 35.7042821 51.409589
4421902936 35.704317 51.4099806
4421902938 35.7044131 51.410069
4421902939 35.7043747 51.4114224
4421902940 35.7043913 51.4116807
4421902941 35.704452 51.4105302
4421902942 35.7045687 51.4114036
4421902943 35.7045852 51.4116619
4421902944 35.7047099 51.4093228
4421902945 35.7047258 51.4096136
4421902946 35.7048772 51.4093088
4421902947 35.7048931 51.4095997
4423540732 35.7047238 51.4079987
4423540733 35.7045136 51.4080289
4423540734 35.704602 51.4089614
4423540735 35.7048122 51.4089312
4425473894 35.7037902 51.4042807
4425567190 35.7039923 51.4049934
4425578989 35.7057607 51.4103279
4426284052 35.7051739 51.4110081
4426284053 35.7052041 51.4114524
4426284054 35.7053209 51.4116356
4426284055 35.7053343 51.4117691
4426284056 35.7053856 51.4117613
4426284057 35.7054137 51.412041
4426284058 35.7054759 51.4120316
4426284059 35.7054816 51.4120881
4426284060 35.7055662 51.4109677
4426284061 35.7055964 51.4114119
4426284062 35.7057265 51.4115738
4426284063 35.7057538 51.411846
4426284064 35.7057543 51.4119802
4426284065 35.7057608 51.4120455
4426284066 35.705795 51.4118398
4426284067 35.7058083 51.411972
4426284084 35.7067411 51.4128782
4426284085 35.706739 51.412732
4426473808 35.7122243 51.4126378
4443875081 35.7016461 51.4052239
4443875082 35.7016438 51.4053222
4462035691 35.7061941 51.402688
4497855535 35.708757 51.41081
4497855536 35.7082737 51.410863
4497855537 35.7082448 51.4105168
4497855538 35.7087281 51.4104451
4498240303 35.7064305 51.4070705
4498240304 35.7061191 51.4070775
4498240305 35.7061243 51.4074289
4498240306 35.7064357 51.4074219
4506464215 35.7046631 51.4123267
4506464216 35.7043264 51.4087394
4506464217 35.7041998 51.4086915
4506464218 35.704122 51.4083798
4506464219 35.7041317 51.4080022
4506464220 35.7041755 51.4078524
4506464221 35.7037715 51.4062581
4506464222 35.7044675 51.4085836
4506464223 35.7039565 51.4061802
4506464224 35.7038636 51.405928
4518012989 35.704907 51.405966
4556767791 35.7083563 51.4060222
4560143846 35.7059594 51.4057306
4560143847 35.7054887 51.4056248
4560143848 35.7055251 51.4053529
4560143849 35.7060005 51.405445
4560143850 35.7064965 51.403777
4560143851 35.7065396 51.4037533
4560143852 35.7065742 51.4037138
4560143853 35.7065964 51.4036625
4560143854 35.7066039 51.4036051
4560143855 35.7064023 51.4034449
4560143856 35.7063629 51.4034769
4560143857 35.7063341 51.403523
4560143858 35.7063191 51.4035781
4560143859 35.7063193 51.4036362
4560143860 35.7065959 51.4035479
4560143861 35.7065732 51.4034969
4560143862 35.7065383 51.4034578
4560143863 35.706495 51.4034348
4560143864 35.7064479 51.4034303
4560143865 35.7063349 51.403691
4560143866 35.7063641 51.4037367
4560143867 35.7064037 51.4037682
4560143868 35.7064495 51.4037821
4560245174 35.7067029 51.4092214
4560245175 35.7071493 51.4091825
4560245176 35.707118 51.4083393
4560245177 35.7066735 51.4083642
4560258397 35.7060969 51.4065153
4560258398 35.7061012 51.4062253
4560258399 35.7062346 51.4062283
4560258400 35.7062303 51.4065183
4563115498 35.7085212 51.413212
4568441086 35.7062398 51.4031473
4568441087 35.706021 51.4030501
4568441088 35.7059134 51.403222
4568445889 35.7060606 51.4034505
4574204836 35.7110303 51.4068989
4574204837 35.7109987 51.4069854
4577561604 35.7063967 51.4067369
4577561605 35.7079891 51.4074806
4578666539 35.7037841 51.4053871
4578666540 35.7085063 51.4066986
4578666541 35.7084886 51.4065168
4585824609 35.7082214 51.4119898
4585835807 35.7049239 51.4127599
4585835808 35.7048934 51.4123736
4587855714 35.7040002 51.4126415
4587855715 35.7041024 51.414127
4587855717 35.7035332 51.4141811
4587855718 35.7031353 51.4127364
4587855719 35.7032377 51.4142092
4596783824 35.705742 51.4034616
4596783825 35.7056609 51.4041378
4596783826 35.7051205 51.4033613
4596783827 35.7050524 51.4039242
4596783828 35.7053408 51.4048174
4596783829 35.7054057 51.4042395
4596783830 35.7047934 51.4047176
4596783831 35.7048653 51.4041686
4596783832 35.7045051 51.4032621
4596783833 35.7045175 51.4029947
4596783834 35.7030963 51.4030487
4596783835 35.7031289 51.4027051
4596783836 35.7020803 51.4028994
4596783837 35.7020606 51.4031611
4601158174 35.7014102 51.4050592
4601158175 35.7017987 51.4051343
4601158176 35.7021625 51.4052138
4601158177 35.7024187 51.4052601
4601158178 35.7025102 51.4052735
4601158181 35.7037023 51.4054952
4601158182 35.7038291 51.4055104
4601158187 35.7063375 51.4059521
4601158188 35.706704 51.4060224
4601158289 35.7072091 51.4061181
4601158294 35.70877 51.4063921
4601158295 35.7088895 51.4063971
4601158296 35.7092458 51.4064652
4601158297 35.7104713 51.4067004
4601158298 35.7109877 51.4067784
4614555803 35.7053942 51.4193343
4614555807 35.7052326 51.4170868
4614579329 35.7098537 51.4128809
4614579333 35.7082416 51.4129535
4614579334 35.7079902 51.4129491
4614582233 35.7144687 51.4129566
4614582247 35.7128476 51.4125829
4614587835 35.7104035 51.4118017
4614590261 35.7028417 51.4127638
4614596339 35.7049511 51.4131084
4614596340 35.7046066 51.4131465
4614596341 35.7046109 51.4132645
4614596342 35.7045979 51.4130124
4614605422 35.7023819 51.4140278
4614605424 35.7023469 51.4135571
4614616445 35.705219 51.4169004
4618506890 35.7068882 51.4080303
4618506891 35.7065517 51.4080235
4618506892 35.7065675 51.4087448
4618506893 35.7060331 51.4087985
4618506894 35.706052 51.4089456
4618506895 35.7069242 51.4092515
4618506896 35.706579 51.4092703
4618506897 35.7056937 51.4093262
4618506898 35.7057847 51.4093205
4618506899 35.7057847 51.4094033
4618506900 35.706588 51.4096834
4618506901 35.7062132 51.4097138
4618506902 35.7061999 51.4095948
4618506903 35.7062151 51.4098376
4618506904 35.7080688 51.410011
4618506905 35.7065986 51.4101659
4618506906 35.7075512 51.4100655
4618506907 35.7075393 51.4098757
4618506908 35.7069388 51.4101301
4618506909 35.7069243 51.4098757
4618506910 35.7081185 51.4106561
4618506911 35.7077433 51.4107074
4618506912 35.7077376 51.4106295
4618506913 35.7077433 51.4107852
4619155050 35.6977232 51.402269
4620979384 35.7116648 51.4105953
4620979386 35.7111156 51.410651
4620979388 35.7106872 51.4106944
4620980191 35.7098157 51.4107827
4620980193 35.7099026 51.4118059
4620980195 35.7092527 51.4108399
4620980196 35.709311 51.4118715
4620980933 35.7097006 51.4120237
4620980935 35.7088 51.4119281
4620980936 35.7087585 51.4115494
4620980937 35.7088217 51.4115494
4620980938 35.7086218 51.4109069
4620980939 35.7086723 51.4114432
4620988741 35.7058731 51.4080173
4620988742 35.7054765 51.4084915
4620988743 35.702753 51.4085662
4620988744 35.7028916 51.4079325
4620988745 35.7027531 51.4079325
4620988746 35.7027859 51.4095424
4620988747 35.7022512 51.4085695
4620988748 35.7022841 51.4095749
4620988752 35.7021572 51.4064617
4620988753 35.702158 51.4070666
4620988754 35.7021633 51.4062022
4620988755 35.7024493 51.4064432
4620988756 35.7024401 51.406063
4620988757 35.7026933 51.4064339
4620988758 35.7026979 51.4070861
4620997259 35.7104693 51.4056766
4620997271 35.7094135 51.4055007
4620997273 35.7095325 51.40552
4620997275 35.7092854 51.4066583
4620997277 35.7084913 51.4053512
4620997278 35.7084502 51.4057242
4620997279 35.7081982 51.4053037
4620997280 35.708185 51.4057673
4620997281 35.7083301 51.404578
4620997282 35.7082543 51.4053128
4620997283 35.7079343 51.4052609
4620997284 35.7078698 51.4044856
4620997285 35.7106738 51.4057109
4621005566 35.703303 51.405603
4621005567 35.7033598 51.4050942
4621005568 35.7032847 51.4037324
4621009864 35.7019649 51.4028821
4621009865 35.7025984 51.4021633
4621014819 35.7023223 51.4021281
4621023928 35.7044956 51.4024061
4621023930 35.7054975 51.4019556
4621023932 35.7062569 51.4027817
4621023933 35.7059149 51.4029302
4621028718 35.7089234 51.4023988
4629523003 35.7065685 51.3966667
4629523007 35.703687 51.4018627
4629550780 35.7048805 51.4069227
4629550781 35.7045587 51.4069028
4629550782 35.7050106 51.4076375
4629550783 35.70475 51.407613
4629550784 35.7059313 51.4104967
4629550785 35.7055329 51.4105288
4629550786 35.7057741 51.4114279
4629550787 35.7054995 51.4114789
4629550788 35.7058498 51.410111
4629551889 35.705435 51.4101641
4629551890 35.7057447 51.4097474
4629551891 35.7053343 51.4097885
4629551892 35.7055846 51.4089771
4629551893 35.7051277 51.4090188
4629551894 35.7052593 51.4087368
4629551895 35.7050518 51.4087357
4629551896 35.7054195 51.4070299
4629551897 35.7052043 51.4069991
4629551898 35.7059355 51.4073014
4629551899 35.7059348 51.4075722
4629562845 35.7074011 51.4077695
4629562846 35.7075068 51.4090786
4629562847 35.7074936 51.4092249
4629562848 35.7080217 51.4093996
4629562849 35.7076454 51.4094607
4646600000 35.7025907 51.4127043
4666676178 35.7021196 51.4050463
4666676179 35.7018892 51.4050069
4666676180 35.7018972 51.4049357
4666676181 35.7019135 51.4049385
4666676182 35.7019257 51.4048294
4666676183 35.7019124 51.4048271
4666676184 35.7019636 51.404373
4666676186 35.7021984 51.4044131
4666676989 35.7021469 51.4048704
4666676990 35.7021271 51.404867
4666676991 35.7021155 51.4049696
4666676992 35.702128 51.4049717
4679693163 35.7060435 51.4124879
4679693164 35.7061765 51.414426
4679693165 35.705116 51.4145364
4679693166 35.704983 51.4125983
4679693167 35.7058261 51.4108163
4709595687 35.7022625 51.4129381
4709595688 35.7022826 51.4132128
4709595789 35.701834 51.412943
4709595793 35.7031639 51.4095498
4709595794 35.7033185 51.409673
4709595795 35.7038581 51.4094909
4712606322 35.7028212 51.4043585
4715979493 35.7085203 51.4060525
4718317589 35.7059497 51.4026391
4718810089 35.708535 51.4047094
4723841004 35.7051612 51.4110348
4723841005 35.7052261 51.4118259
4723841006 35.7047595 51.411884
4723841007 35.7046946 51.4110928
4723841008 35.7024564 51.4055527
4723841009 35.7022112 51.4055719
4723841010 35.7022308 51.405969
4723841011 35.7024671 51.4059466
4759356522 35.7018686 51.4126248
4778118298 35.7023049 51.4043161
4788003481 35.7016178 51.407466
4788003482 35.7022218 51.4065148
4788003483 35.7022369 51.4068924
4788003484 35.7026626 51.4068518
4788003485 35.7026629 51.4064861
4795356779 35.7053298 51.4134698
4810904827 35.70313 51.4028201
4820618164 35.6945685 51.4018033
4820618187 35.7029843 51.4044608
4820618188 35.7031804 51.4045037
4820618189 35.703139 51.4047949
4820618190 35.702943 51.4047734
4820618191 35.7029517 51.4046983
4820618192 35.7029212 51.4046715
4820618193 35.7029255 51.4045588
4820618194 35.7029647 51.4044998
4820618195 35.7033822 51.4053584
4820618196 35.7035039 51.4053755
4820618197 35.7035226 51.4051748
4820618198 35.7034009 51.4051577
4820633494 35.7048155 51.4055227
4820633495 35.7053716 51.4056363
4820633496 35.7054275 51.4052217
4820633497 35.7048714 51.4051082
4820633498 35.7086587 51.4059984
4820633499 35.7087773 51.4060256
4820633500 35.7088029 51.4058564
4820633501 35.7086843 51.4058292
4820633503 35.7109317 51.4069731
4888584693 35.7037021 51.4106399
4888584694 35.7038328 51.4106345
4888584695 35.703824 51.4102483
4888584696 35.70386 51.4102469
4888584697 35.7038627 51.4101222
4888584698 35.7036945 51.4101249
4888584699 35.7036906 51.4105426
4888584700 35.7035817 51.4105386
4888584701 35.7035839 51.4102892
4888584702 35.7036286 51.4102892
4888584703 35.7036286 51.4102328
4888584704 35.7036852 51.4102302
4888584705 35.7027023 51.4124121
4888584706 35.7029681 51.412396
4888584707 35.7029637 51.4120554
4888584708 35.7026914 51.4120634
4888584709 35.7022057 51.4123665
4888584710 35.7022035 51.4121171
4888584711 35.7022515 51.4121144
4888584712 35.7022515 51.4121546
4888584713 35.7024736 51.4121546
4888584714 35.7024736 51.412109
4888584715 35.7025346 51.4121064
4888584716 35.702539 51.4123665
4888584717 35.7024823 51.4123665
4888584718 35.7024823 51.4123156
4888584719 35.702258 51.4123263
4888584720 35.702258 51.4123665
4888586693 35.7037562 51.4115278
4888586694 35.7037442 51.4110685
4888586695 35.7035351 51.4110768
4888586696 35.703547 51.4115361
4888586697 35.7022679 51.4106154
4888586698 35.7032247 51.4105687
4888586699 35.7031996 51.4097912
4888586700 35.7022428 51.409838
4888586701 35.7026133 51.411852
4888586702 35.7028732 51.4118444
4888586703 35.7028624 51.4115602
4888586704 35.7028152 51.4115611
4888586705 35.7028141 51.4114126
4888586706 35.702871 51.4114123
4888586707 35.7028696 51.4113559
4888586708 35.7029165 51.4113559
4888586709 35.7029129 51.4112581
4888586710 35.7028674 51.4112581
4888586711 35.7028674 51.4112124
4888586712 35.7028101 51.4112124
4888586713 35.7028083 51.4110583
4888586714 35.7028552 51.4110583
4888586715 35.7028516 51.4107946
4888586716 35.7025912 51.4107954
4888586717 35.7025963 51.41095
4888586718 35.7027073 51.4109472
4888586719 35.7027326 51.4116801
4888586720 35.7026099 51.4116845
4888587421 35.7040959 51.4108051
4888587422 35.7041355 51.4113381
4888587423 35.7038903 51.4113647
4888587424 35.7038614 51.4108229
4888594873 35.7039019 51.4117858
4888594874 35.7039455 51.4117791
4888594875 35.7039575 51.4115149
4888594876 35.7038932 51.4115176
4888594877 35.7039634 51.411592
4888594878 35.703949 51.411593
4888594879 35.7039549 51.4116606
4888594880 35.7039425 51.4116689
4888602327 35.7023032 51.4114492
4888602328 35.7024067 51.4114452
4888602329 35.7024077 51.4112185
4888602330 35.7023032 51.4112226
4888602331 35.7021366 51.4113446
4987945291 35.7040309 51.4050754
5013048521 35.7037175 51.4056042
5045685021 35.7078436 51.4061033
5045685022 35.7078912 51.4057121
5045685023 35.7084553 51.4058353
5045685024 35.7084028 51.406222
5054684546 35.7069946 51.4068042
5054684547 35.7069621 51.4094648
5054684548 35.7077734 51.4104904
5054684549 35.7066109 51.4074628
5054684550 35.7066131 51.406529
5054684551 35.7070153 51.4077995
5054684552 35.7073204 51.410581
5054684553 35.7066254 51.4078015
5054684554 35.7067007 51.4106379
5054684555 35.7067383 51.4109024
5054684557 35.7067105 51.4105671
5054684558 35.7070201 51.4066008
5054684559 35.7066009 51.4067339
5054684560 35.7065848 51.4072206
5054684561 35.7066868 51.410189
5054684562 35.70776 51.4101224
5054684563 35.7070525 51.4075125
5054688267 35.7063006 51.4082983
5054688268 35.7061619 51.4078825
5056569718 35.7084162 51.4131208
5056569719 35.7083122 51.4129281
5108879549 35.706367 51.4048426
5108879550 35.7063832 51.4045781
5108879551 35.7059017 51.4045334
5108879552 35.7058855 51.4047978
5152210474 35.7065848 51.4072206
5164476721 35.7036066 51.4058288
5261847922 35.7054389 51.4061589
5301971650 35.7073483 51.4108769
5352745221 35.70205 51.4124042
5356009511 35.7056288 51.404081
5573578731 35.7021636 51.4028241
5582664264 35.6984899 51.404671
5626984916 35.7046699 51.4123988
5639944321 35.7080715 51.4052951
5669323718 35.7066191 51.4111023
5669323719 35.706018 51.4111126
5717436521 35.7023513 51.405947
5902571452 35.7021901 51.4086653
5902571453 35.7021882 51.4086491
5902571454 35.7022535 51.4086389
5902571455 35.7022568 51.4087358
5902595647 35.7021658 51.4085701
6037159016 35.71093 51.4068808
6037159017 35.7092947 51.4065849
6037159018 35.7033123 51.4055196
6037159019 35.6990926 51.4047734
6158122811 35.7040572 51.4053669
6172364733 35.7012254 51.4051852
6172364734 35.7087645 51.4064455
6172364735 35.7088755 51.4053646
6172364736 35.7109881 51.4057025
6183541164 35.7000801 51.4049403
6187895088 35.7084569 51.4053785
6189308187 35.70326 51.4064239
6224337106 35.7032516 51.4031372
6247543187 35.7067076 51.4035392
6258706526 35.7137462 51.4115208
6258706527 35.7128873 51.4116304
6258706528 35.7126828 51.411653
6258706529 35.7123014 51.4117008
6258706530 35.7114484 51.4118065
6258706531 35.710898 51.4118756
6258706532 35.7105977 51.411911
6258718434 35.7014549 51.4129208
6258721094 35.7014052 51.4129221
6258721095 35.7013601 51.4129243
6258721096 35.7012887 51.4129224
6258721097 35.699913 51.4128542
6263956474 35.7066424 51.4121674
6268664670 35.7040029 51.4126812
6268664672 35.7031373 51.4127624
6268664673 35.7034347 51.4127321
6268664674 35.7028438 51.4127912
6268664675 35.702278 51.412744
6268664676 35.7024066 51.4127247
6268731957 35.7074415 51.4120788
6268731958 35.7074744 51.412086
6268731959 35.7074977 51.4121042
6268731960 35.7075151 51.4121306
6268731961 35.7075248 51.4121624
6268731962 35.7074537 51.4122847
6268731963 35.7071471 51.4123099
6268731964 35.7071198 51.4122995
6268731965 35.7070973 51.4122789
6268731966 35.7070823 51.4122481
6268731967 35.7070765 51.4122129
6268731968 35.7070806 51.4121773
6268731969 35.7071395 51.4121157
6268731971 35.7075259 51.4121964
6268731972 35.7075181 51.412229
6268731973 35.7075024 51.412257
6268731974 35.7074803 51.4122773
6268731975 35.7070941 51.4121455
6268731976 35.7071155 51.4121244
6268731977 35.7071754 51.4121083
6268731978 35.7071838 51.4123126
6268731979 35.7048064 51.4125525
6268731980 35.7048274 51.4125413
6268731981 35.7048411 51.4125312
6268731982 35.7048528 51.4125167
6268731983 35.7048599 51.4125009
6268731984 35.7048639 51.4124836
6268738385 35.7048647 51.4124657
6268738386 35.7048622 51.4124479
6268738387 35.7048565 51.4124314
6268738388 35.7048479 51.4124168
6268738389 35.7048369 51.412405
6268738390 35.704824 51.4123965
